catagory,norm_url,cc_url,query,CC_results,total_results,CC_percent,,,,,Category,queries ,avg results,avg cc results,avg % CC
animals,https://www.google.com/search?as_q=Chipmunk,https://www.google.com/search?as_q=Chipmunk&tbs=sur:fm,Chipmunk,83000,53800000,0.154275093,,,,,,,,,
animals,https://www.google.com/search?as_q=Otter,https://www.google.com/search?as_q=Otter&tbs=sur:fm,Otter,592000,194000000,0.305154639,,,,,,,,,
animals,https://www.google.com/search?as_q=Skunk,https://www.google.com/search?as_q=Skunk&tbs=sur:fm,Skunk,276000,69700000,0.395982783,,,,,,,,,
animals,https://www.google.com/search?as_q=Badger,https://www.google.com/search?as_q=Badger&tbs=sur:fm,Badger,424000,149000000,0.284563758,,,,,,,,,
animals,https://www.google.com/search?as_q=Weasel,https://www.google.com/search?as_q=Weasel&tbs=sur:fm,Weasel,139000,59200000,0.234797297,,,,,,,,,
animals,https://www.google.com/search?as_q=Mink,https://www.google.com/search?as_q=Mink&tbs=sur:fm,Mink,92900,114000000,0.081491228,,,,,,,,,
animals,https://www.google.com/search?as_q=Hamster,https://www.google.com/search?as_q=Hamster&tbs=sur:fm,Hamster,555000,728000000,0.076236264,,,,,,,,,
animals,https://www.google.com/search?as_q=Gerbil,https://www.google.com/search?as_q=Gerbil&tbs=sur:fm,Gerbil,43300,29200000,0.148287671,,,,,,,,,
animals,https://www.google.com/search?as_q=Rat,https://www.google.com/search?as_q=Rat&tbs=sur:fm,Rat,117000000,2110000000,5.545023697,,,,,,,,,
animals,https://www.google.com/search?as_q=Mouse,https://www.google.com/search?as_q=Mouse&tbs=sur:fm,Mouse,121000000,1910000000,6.335078534,,,,,,,,,
animals,https://www.google.com/search?as_q=Hedgehog,https://www.google.com/search?as_q=Hedgehog&tbs=sur:fm,Hedgehog,1450000,218000000,0.665137615,,,,,,,,,
animals,https://www.google.com/search?as_q=Porcupine,https://www.google.com/search?as_q=Porcupine&tbs=sur:fm,Porcupine,81000,48300000,0.167701863,,,,,,,,,
animals,https://www.google.com/search?as_q=Armadillo,https://www.google.com/search?as_q=Armadillo&tbs=sur:fm,Armadillo,106000,47600000,0.222689076,,,,,,,,,
animals,https://www.google.com/search?as_q=Sloth,https://www.google.com/search?as_q=Sloth&tbs=sur:fm,Sloth,87900,82100000,0.107064555,,,,,,,,,
animals,https://www.google.com/search?as_q=Anteater,https://www.google.com/search?as_q=Anteater&tbs=sur:fm,Anteater,27600,18700000,0.147593583,,,,,,,,,
animals,https://www.google.com/search?as_q=Kangaroo+Rat,https://www.google.com/search?as_q=Kangaroo+Rat&tbs=sur:fm,Kangaroo+Rat,19000,10400000,0.182692308,,,,,,,,,
animals,https://www.google.com/search?as_q=Nutria,https://www.google.com/search?as_q=Nutria&tbs=sur:fm,Nutria,21800,14000000,0.155714286,,,,,,,,,
animals,https://www.google.com/search?as_q=Opossum,https://www.google.com/search?as_q=Opossum&tbs=sur:fm,Opossum,51500,23600000,0.218220339,,,,,,,,,
animals,https://www.google.com/search?as_q=Raccoon+Dog,https://www.google.com/search?as_q=Raccoon+Dog&tbs=sur:fm,Raccoon+Dog,37900,35100000,0.107977208,,,,,,,,,
animals,https://www.google.com/search?as_q=Red+Panda,https://www.google.com/search?as_q=Red+Panda&tbs=sur:fm,Red+Panda,605000,631000000,0.095879556,,,,,,,,,
animals,https://www.google.com/search?as_q=Coati,https://www.google.com/search?as_q=Coati&tbs=sur:fm,Coati,16100,6680000,0.241017964,,,,,,,,,
animals,https://www.google.com/search?as_q=Aardvark,https://www.google.com/search?as_q=Aardvark&tbs=sur:fm,Aardvark,39000,13000000,0.3,,,,,,,,,
animals,https://www.google.com/search?as_q=Tapir,https://www.google.com/search?as_q=Tapir&tbs=sur:fm,Tapir,36900,17400000,0.212068966,,,,,,,,,
animals,https://www.google.com/search?as_q=Pigmy+Hippo,https://www.google.com/search?as_q=Pigmy+Hippo&tbs=sur:fm,Pigmy+Hippo,2950,1990000,0.148241206,,,,,,,,,
animals,https://www.google.com/search?as_q=Seal,https://www.google.com/search?as_q=Seal&tbs=sur:fm,Seal,159000000,3370000000,4.71810089,,,,,,,,,
animals,https://www.google.com/search?as_q=Sea+Lion,https://www.google.com/search?as_q=Sea+Lion&tbs=sur:fm,Sea+Lion,683000,353000000,0.193484419,,,,,,,,,
animals,https://www.google.com/search?as_q=Dugong,https://www.google.com/search?as_q=Dugong&tbs=sur:fm,Dugong,25000,15700000,0.159235669,,,,,,,,,
animals,https://www.google.com/search?as_q=Manatee,https://www.google.com/search?as_q=Manatee&tbs=sur:fm,Manatee,50800,49200000,0.103252033,,,,,,,,,
animals,https://www.google.com/search?as_q=Whale,https://www.google.com/search?as_q=Whale&tbs=sur:fm,Whale,4110000,618000000,0.665048544,,,,,,,,,
animals,https://www.google.com/search?as_q=Dolphin,https://www.google.com/search?as_q=Dolphin&tbs=sur:fm,Dolphin,4750000,507000000,0.936883629,,,,,,,,,
animals,https://www.google.com/search?as_q=Porpoise,https://www.google.com/search?as_q=Porpoise&tbs=sur:fm,Porpoise,34700,14900000,0.232885906,,,,,,,,,
animals,https://www.google.com/search?as_q=Shark,https://www.google.com/search?as_q=Shark&tbs=sur:fm,Shark,10100000,1200000000,0.841666667,,,,,,,,,
animals,https://www.google.com/search?as_q=Ray,https://www.google.com/search?as_q=Ray&tbs=sur:fm,Ray,508000000,3700000000,13.72972973,,,,,,,,,
animals,https://www.google.com/search?as_q=Barracuda,https://www.google.com/search?as_q=Barracuda&tbs=sur:fm,Barracuda,74500,53000000,0.140566038,,,,,,,,,
animals,https://www.google.com/search?as_q=Eel,https://www.google.com/search?as_q=Eel&tbs=sur:fm,Eel,942000,293000000,0.321501706,,,,,,,,,
animals,https://www.google.com/search?as_q=Salmon,https://www.google.com/search?as_q=Salmon&tbs=sur:fm,Salmon,5550000,1150000000,0.482608696,,,,,,,,,
animals,https://www.google.com/search?as_q=Trout,https://www.google.com/search?as_q=Trout&tbs=sur:fm,Trout,952000,176000000,0.540909091,,,,,,,,,
animals,https://www.google.com/search?as_q=Catfish,https://www.google.com/search?as_q=Catfish&tbs=sur:fm,Catfish,215000,121000000,0.17768595,,,,,,,,,
animals,https://www.google.com/search?as_q=Goldfish,https://www.google.com/search?as_q=Goldfish&tbs=sur:fm,Goldfish,71100,71900000,0.098887344,,,,,,,,,
animals,https://www.google.com/search?as_q=Penguin,https://www.google.com/search?as_q=Penguin&tbs=sur:fm,Penguin,61400000,680000000,9.029411765,,,,,,,,,
animals,https://www.google.com/search?as_q=Ostrich,https://www.google.com/search?as_q=Ostrich&tbs=sur:fm,Ostrich,152000,107000000,0.142056075,,,,,,,,,
animals,https://www.google.com/search?as_q=Emu,https://www.google.com/search?as_q=Emu&tbs=sur:fm,Emu,755000,228000000,0.331140351,,,,,,,,,
animals,https://www.google.com/search?as_q=Rhea,https://www.google.com/search?as_q=Rhea&tbs=sur:fm,Rhea,130000,87600000,0.148401826,,,,,,,,,
animals,https://www.google.com/search?as_q=Kiwi,https://www.google.com/search?as_q=Kiwi&tbs=sur:fm,Kiwi,791000,679000000,0.116494845,,,,,,,,,
animals,https://www.google.com/search?as_q=Cassowary,https://www.google.com/search?as_q=Cassowary&tbs=sur:fm,Cassowary,23800,8440000,0.281990521,,,,,,,,,
animals,https://www.google.com/search?as_q=Chicken,https://www.google.com/search?as_q=Chicken&tbs=sur:fm,Chicken,44700000,3450000000,1.295652174,,,,,,,,,
animals,https://www.google.com/search?as_q=Turkey,https://www.google.com/search?as_q=Turkey&tbs=sur:fm,Turkey,109000000,3060000000,3.562091503,,,,,,,,,
animals,https://www.google.com/search?as_q=Duck,https://www.google.com/search?as_q=Duck&tbs=sur:fm,Duck,18200000,1540000000,1.181818182,,,,,,,,,
animals,https://www.google.com/search?as_q=Goose,https://www.google.com/search?as_q=Goose&tbs=sur:fm,Goose,1220000,368000000,0.331521739,,,,,,,,,
books,https://www.google.com/search?as_q=To+Kill+a+Mockingbird+by+Harper+Lee,https://www.google.com/search?as_q=To+Kill+a+Mockingbird+by+Harper+Lee&tbs=sur:fm,To+Kill+a+Mockingbird+by+Harper+Lee,5750,4230000,0.135933806,,,,,,,,,
books,https://www.google.com/search?as_q=1984+by+George+Orwell,https://www.google.com/search?as_q=1984+by+George+Orwell&tbs=sur:fm,1984+by+George+Orwell,40100,21300000,0.188262911,,,,,,,,,
books,https://www.google.com/search?as_q=The+Great+Gatsby+by+F.+Scott+Fitzgerald,https://www.google.com/search?as_q=The+Great+Gatsby+by+F.+Scott+Fitzgerald&tbs=sur:fm,The+Great+Gatsby+by+F.+Scott+Fitzgerald,7310,4360000,0.16766055,,,,,,,,,
books,https://www.google.com/search?as_q=Pride+and+Prejudice+by+Jane+Austen,https://www.google.com/search?as_q=Pride+and+Prejudice+by+Jane+Austen&tbs=sur:fm,Pride+and+Prejudice+by+Jane+Austen,11800,14100000,0.083687943,,,,,,,,,
books,https://www.google.com/search?as_q=The+Catcher+in+the+Rye+by+J.D.+Salinger,https://www.google.com/search?as_q=The+Catcher+in+the+Rye+by+J.D.+Salinger&tbs=sur:fm,The+Catcher+in+the+Rye+by+J.D.+Salinger,3880,1470000,0.263945578,,,,,,,,,
books,https://www.google.com/search?as_q=Moby-Dick+by+Herman+Melville,https://www.google.com/search?as_q=Moby-Dick+by+Herman+Melville&tbs=sur:fm,Moby-Dick+by+Herman+Melville,11600,3760000,0.308510638,,,,,,,,,
books,https://www.google.com/search?as_q=The+Lord+of+the+Rings+by+J.R.R.+Tolkien,https://www.google.com/search?as_q=The+Lord+of+the+Rings+by+J.R.R.+Tolkien&tbs=sur:fm,The+Lord+of+the+Rings+by+J.R.R.+Tolkien,20700,13000000,0.159230769,,,,,,,,,
books,https://www.google.com/search?as_q=War+and+Peace+by+Leo+Tolstoy,https://www.google.com/search?as_q=War+and+Peace+by+Leo+Tolstoy&tbs=sur:fm,War+and+Peace+by+Leo+Tolstoy,4760,2320000,0.205172414,,,,,,,,,
books,https://www.google.com/search?as_q=The+Odyssey+by+Homer,https://www.google.com/search?as_q=The+Odyssey+by+Homer&tbs=sur:fm,The+Odyssey+by+Homer,22700,14500000,0.156551724,,,,,,,,,
books,https://www.google.com/search?as_q=The+Brothers+Karamazov+by+Fyodor+Dostoevsky,https://www.google.com/search?as_q=The+Brothers+Karamazov+by+Fyodor+Dostoevsky&tbs=sur:fm,The+Brothers+Karamazov+by+Fyodor+Dostoevsky,1370,689000,0.198838897,,,,,,,,,
books,https://www.google.com/search?as_q=Crime+and+Punishment+by+Fyodor+Dostoevsky,https://www.google.com/search?as_q=Crime+and+Punishment+by+Fyodor+Dostoevsky&tbs=sur:fm,Crime+and+Punishment+by+Fyodor+Dostoevsky,2000,876000,0.228310502,,,,,,,,,
books,https://www.google.com/search?as_q=Great+Expectations+by+Charles+Dickens,https://www.google.com/search?as_q=Great+Expectations+by+Charles+Dickens&tbs=sur:fm,Great+Expectations+by+Charles+Dickens,10100,4940000,0.204453441,,,,,,,,,
books,https://www.google.com/search?as_q=Catch-22+by+Joseph+Heller,https://www.google.com/search?as_q=Catch-22+by+Joseph+Heller&tbs=sur:fm,Catch-22+by+Joseph+Heller,3800,2050000,0.185365854,,,,,,,,,
books,https://www.google.com/search?as_q=The+Hobbit+by+J.R.R.+Tolkien,https://www.google.com/search?as_q=The+Hobbit+by+J.R.R.+Tolkien&tbs=sur:fm,The+Hobbit+by+J.R.R.+Tolkien,15300,10200000,0.15,,,,,,,,,
books,https://www.google.com/search?as_q=Les+Misérables+by+Victor+Hugo,https://www.google.com/search?as_q=Les+Misérables+by+Victor+Hugo&tbs=sur:fm,Les+Misérables+by+Victor+Hugo,16900,15700000,0.107643312,,,,,,,,,
books,https://www.google.com/search?as_q=Ulysses+by+James+Joyce,https://www.google.com/search?as_q=Ulysses+by+James+Joyce&tbs=sur:fm,Ulysses+by+James+Joyce,14100,4510000,0.312638581,,,,,,,,,
books,https://www.google.com/search?as_q=Madame+Bovary+by+Gustave+Flaubert,https://www.google.com/search?as_q=Madame+Bovary+by+Gustave+Flaubert&tbs=sur:fm,Madame+Bovary+by+Gustave+Flaubert,6050,5570000,0.108617594,,,,,,,,,
books,https://www.google.com/search?as_q=A+Tale+of+Two+Cities+by+Charles+Dickens,https://www.google.com/search?as_q=A+Tale+of+Two+Cities+by+Charles+Dickens&tbs=sur:fm,A+Tale+of+Two+Cities+by+Charles+Dickens,6180,3610000,0.171191136,,,,,,,,,
books,https://www.google.com/search?as_q=The+Picture+of+Dorian+Gray+by+Oscar+Wilde,https://www.google.com/search?as_q=The+Picture+of+Dorian+Gray+by+Oscar+Wilde&tbs=sur:fm,The+Picture+of+Dorian+Gray+by+Oscar+Wilde,3620,13800000,0.026231884,,,,,,,,,
books,https://www.google.com/search?as_q=Brave+New+World+by+Aldous+Huxley,https://www.google.com/search?as_q=Brave+New+World+by+Aldous+Huxley&tbs=sur:fm,Brave+New+World+by+Aldous+Huxley,5720,1830000,0.312568306,,,,,,,,,
books,https://www.google.com/search?as_q=The+Adventures+of+Huckleberry+Finn+by+Mark+Twain,https://www.google.com/search?as_q=The+Adventures+of+Huckleberry+Finn+by+Mark+Twain&tbs=sur:fm,The+Adventures+of+Huckleberry+Finn+by+Mark+Twain,3910,2200000,0.177727273,,,,,,,,,
books,https://www.google.com/search?as_q=Anna+Karenina+by+Leo+Tolstoy,https://www.google.com/search?as_q=Anna+Karenina+by+Leo+Tolstoy&tbs=sur:fm,Anna+Karenina+by+Leo+Tolstoy,2660,1700000,0.156470588,,,,,,,,,
books,https://www.google.com/search?as_q=Don+Quixote+by+Miguel+de+Cervantes,https://www.google.com/search?as_q=Don+Quixote+by+Miguel+de+Cervantes&tbs=sur:fm,Don+Quixote+by+Miguel+de+Cervantes,8350,3180000,0.262578616,,,,,,,,,
books,https://www.google.com/search?as_q=Beloved+by+Toni+Morrison,https://www.google.com/search?as_q=Beloved+by+Toni+Morrison&tbs=sur:fm,Beloved+by+Toni+Morrison,3010,2930000,0.102730375,,,,,,,,,
books,https://www.google.com/search?as_q=One+Hundred+Years+of+Solitude+by+Gabriel+García+Márquez,https://www.google.com/search?as_q=One+Hundred+Years+of+Solitude+by+Gabriel+García+Márquez&tbs=sur:fm,One+Hundred+Years+of+Solitude+by+Gabriel+García+Márquez,4,31700,0.012618297,,,,,,,,,
